uid,treatment,testidx,data,scores
54,0,"1,5,3,4,2,0","[[""down"",""right"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""right""],[""down"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up""],[""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up""],[""up"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up""],[""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up""],[""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up""],[""down"",""down"",""down"",""up"",""down"",""down"",""right"",""right"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down""]]","[81,845,724,709,800,825,578]"
55,0,"1,4,3,5,2,0","[[""right"",""down"",""right"",""left"",""right"",""down"",""up"",""left"",""right"",""down""],[""left"",""down"",""left"",""up"",""left"",""up"",""down"",""left"",""right"",""right"",""down"",""down"",""left"",""down"",""left"",""down"",""right"",""up"",""left"",""down""],[""right"",""down"",""left"",""down"",""left"",""right"",""up"",""left"",""left"",""down"",""down"",""left"",""down"",""left"",""up"",""right"",""down"",""left"",""up"",""right""],[""up"",""up"",""left"",""up"",""left"",""left"",""up"",""left"",""down"",""up"",""right"",""left"",""up"",""down"",""right"",""down"",""left"",""up"",""down"",""up""],[""down"",""left"",""left"",""down"",""up"",""up"",""up"",""right"",""left"",""down"",""down"",""right"",""down"",""left"",""left"",""down"",""left"",""right"",""left"",""right""],[""down"",""left"",""down"",""left"",""down"",""left"",""left"",""down"",""right"",""up"",""left"",""down"",""right"",""up"",""left"",""right"",""left"",""down"",""right"",""up""],[""up"",""left"",""left"",""right"",""up"",""left"",""up"",""left"",""down"",""up"",""left"",""up"",""right"",""down"",""up"",""left"",""right"",""left"",""right"",""left""]]","[71,962,851,918,869,957,1092]"
56,1,"0,5,4,1,2,3","[[""down"",""right"",""down"",""up"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""up"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""down"",""left"",""down"",""down"",""up"",""down"",""up""],[""left"",""left"",""right"",""left"",""right"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""up"",""down"",""down"",""down"",""down"",""left"",""left"",""right""],[""down"",""down"",""left"",""left"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""left"",""right"",""left"",""left"",""left"",""down"",""left"",""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""down"",""left"",""left"",""down"",""left"",""down"",""up"",""left"",""down"",""right"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""up"",""left"",""left"",""down"",""left"",""down"",""down"",""down"",""down"",""left"",""right"",""up"",""down"",""up"",""down"",""left"",""right"",""left"",""up"",""down""]]","[99,944,878,1030,1214,975,1450]"
57,0,"0,4,5,2,3,1","[[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down""],[""down"",""down"",""down"",""down"",""up"",""up"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""up"",""up"",""up"",""up"",""up"",""up"",""right""],[""right"",""right"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""up"",""up"",""up"",""right"",""right"",""down"",""down""],[""right"",""right"",""right"",""right"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""right"",""down"",""down"",""down"",""down""],[""right"",""right"",""right"",""up"",""left"",""right"",""right"",""left"",""left"",""up"",""up"",""left"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""right""],[""right"",""right"",""right"",""up"",""up"",""left"",""left"",""left"",""left"",""left"",""up"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""down""],[""right"",""right"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""up"",""up"",""right""]]","[68,511,595,565,776,607,679]"
58,2,"3,2,1,0,4,5","[[""down"",""right"",""down"",""down"",""up"",""up"",""down"",""up"",""down"",""up""],[""left"",""left"",""left"",""down"",""down"",""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""left"",""up"",""down""],[""left"",""left"",""up"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""left"",""left"",""left"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""down"",""right""],[""left"",""left"",""left"",""up"",""down"",""up"",""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""down"",""up"",""down"",""up""],[""down"",""down"",""down"",""right"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""down"",""down"",""right"",""left"",""right"",""left"",""down"",""right"",""up"",""left"",""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""up""]]","[95,1504,674,740,805,655,777]"
59,0,"3,1,2,4,5,0","[[""down"",""right"",""down"",""up"",""left"",""down"",""right"",""down"",""down"",""down""],[""up"",""left"",""right"",""up"",""up"",""left"",""left"",""down"",""left"",""right"",""up"",""right"",""down"",""down"",""right"",""up"",""up"",""left"",""left"",""down""],[""down"",""down"",""left"",""left"",""down"",""left"",""down"",""left"",""up"",""right"",""right"",""up"",""right"",""right"",""up"",""left"",""up"",""left"",""down"",""down""],[""down"",""left"",""down"",""down"",""down"",""up"",""left"",""left"",""left"",""down"",""right"",""up"",""up"",""right"",""right"",""up"",""right"",""up"",""down"",""left""],[""down"",""down"",""left"",""left"",""down"",""left"",""left"",""down"",""right"",""up"",""right"",""up"",""right"",""right"",""up"",""up"",""left"",""left"",""down"",""down""],[""up"",""left"",""left"",""down"",""down"",""right"",""down"",""down"",""left"",""left"",""left"",""down"",""right"",""up"",""left"",""up"",""right"",""right"",""up"",""up""],[""down"",""left"",""left"",""up"",""down"",""down"",""right"",""right"",""up"",""down"",""left"",""left"",""up"",""up"",""down"",""right"",""left"",""right"",""right"",""down""]]","[89,833,966,842,871,837,794]"
60,0,"0,5,2,4,3,1","[[""down"",""right"",""left"",""down"",""right"",""up"",""up"",""down"",""right"",""left""],[""down"",""down"",""up"",""left"",""left"",""up"",""down"",""right"",""up"",""down"",""right"",""right"",""down"",""left"",""up"",""down"",""up"",""up"",""down"",""down""],[""left"",""down"",""left"",""up"",""down"",""up"",""up"",""down"",""down"",""right"",""down"",""up"",""left"",""up"",""up"",""right"",""left"",""down"",""down"",""up""],[""down"",""left"",""left"",""down"",""right"",""right"",""up"",""left"",""up"",""right"",""up"",""right"",""up"",""up"",""up"",""left"",""up"",""down"",""up"",""right""],[""down"",""down"",""left"",""right"",""left"",""left"",""down"",""left"",""left"",""down"",""up"",""right"",""right"",""up"",""up"",""up"",""up"",""down"",""right"",""left""],[""up"",""left"",""right"",""up"",""up"",""left"",""left"",""right"",""left"",""right"",""left"",""down"",""up"",""right"",""down"",""left"",""up"",""right"",""left"",""right""],[""down"",""left"",""down"",""right"",""down"",""up"",""left"",""right"",""up"",""left"",""down"",""right"",""up"",""down"",""up"",""left"",""right"",""down"",""up"",""left""]]","[90,747,864,745,870,882,854]"
61,0,"2,5,4,3,1,0","[[""down"",""down"",""right"",""up"",""left"",""right"",""left"",""right"",""up"",""down""],[""up"",""right"",""up"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""down"",""down"",""up"",""up""],[""left"",""left"",""right"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""down"",""right"",""left"",""up"",""up"",""down"",""down"",""right"",""down"",""up""],[""left"",""left"",""down"",""down"",""down"",""down"",""left"",""right"",""left"",""up"",""left"",""right"",""left"",""down"",""right"",""up"",""left"",""right"",""down"",""up""],[""up"",""up"",""up"",""down"",""up"",""left"",""left"",""down"",""up"",""right"",""left"",""down"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""up"",""left"",""down"",""right"",""left"",""up"",""left"",""up"",""right"",""down"",""down"",""left"",""up"",""up"",""down"",""down"",""right"",""left""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""left"",""left"",""right"",""left"",""up"",""down"",""up"",""down"",""up"",""down"",""up""]]","[94,764,807,893,893,830,834]"
62,0,"1,4,5,3,2,0","[[""down"",""right"",""left"",""right"",""down"",""down"",""up"",""up"",""left"",""right""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""down"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""left"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""down"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""up"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""]]","[97,930,940,907,810,878,840]"
63,1,"1,2,4,0,5,3","[[""right"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""left"",""down"",""left"",""left"",""down"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""left"",""left"",""down"",""down"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""left"",""left"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""down"",""left"",""down"",""left"",""down"",""left"",""down"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""left"",""down"",""down"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""up"",""left"",""left"",""up"",""left"",""left"",""up"",""up"",""up"",""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""]]","[99,1255,990,1030,1028,1018,1023]"
64,1,"0,2,4,5,1,3","[[""right"",""down"",""up"",""down"",""down"",""up"",""down"",""down"",""up"",""up""],[""down"",""left"",""right"",""left"",""left"",""right"",""left"",""right"",""left"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""up"",""down"",""up"",""down"",""left"",""left"",""right"",""right"",""up"",""down"",""left"",""down"",""up"",""right"",""left"",""down"",""up"",""right"",""up""],[""right"",""left"",""down"",""down"",""left"",""right"",""up"",""down"",""left"",""right"",""up"",""down"",""left"",""right"",""left"",""right"",""right"",""left"",""left"",""left""],[""left"",""left"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""right"",""left"",""down"",""up""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""down"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""up"",""up"",""down"",""up"",""up"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""]]","[94,944,866,836,890,913,898]"
65,1,"0,5,1,3,4,2","[[""down"",""right"",""left"",""right"",""left"",""right"",""right"",""left"",""left"",""right""],[""right"",""left"",""left"",""left"",""down"",""down"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""up"",""left"",""left"",""up"",""down"",""up"",""down"",""down"",""right"",""left"",""up"",""right"",""up"",""right"",""up"",""left"",""down"",""left"",""down""],[""down"",""left"",""up"",""left"",""down"",""right"",""down"",""left"",""up"",""right"",""down"",""up"",""right"",""up"",""down"",""left"",""up"",""right"",""down"",""right""],[""up"",""left"",""left"",""up"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""right"",""left"",""left"",""left"",""right"",""right"",""left"",""left"",""right"",""right"",""left"",""left""],[""down"",""left"",""down"",""up"",""right"",""up"",""down"",""left"",""down"",""up"",""right"",""up"",""down"",""left"",""down"",""up"",""right"",""up"",""down"",""left""]]","[96,922,808,776,928,895,869]"
66,2,"2,0,3,1,4,5","[[""right"",""right"",""down"",""down"",""up"",""right"",""right"",""down"",""left"",""right""],[""down"",""left"",""left"",""up"",""up"",""up"",""right"",""left"",""right"",""left"",""up"",""left"",""up"",""up"",""down"",""left"",""right"",""up"",""down"",""up""],[""down"",""down"",""up"",""down"",""down"",""right"",""right"",""down"",""right"",""right"",""right"",""up"",""down"",""left"",""right"",""left"",""right"",""left"",""up"",""right""],[""up"",""left"",""right"",""up"",""down"",""left"",""left"",""down"",""left"",""left"",""down"",""down"",""down"",""down"",""up"",""right"",""left"",""down"",""up"",""down""],[""up"",""right"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""down"",""up"",""up"",""up"",""left"",""left"",""left""],[""right"",""right"",""left"",""up"",""up"",""up"",""up"",""up"",""left"",""right"",""right"",""left"",""right"",""right"",""down"",""down"",""down"",""down"",""right"",""right""],[""down"",""down"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""right"",""right"",""right"",""up"",""left"",""left"",""left"",""left"",""left"",""up""]]","[74,1223,1135,1162,662,523,717]"
67,0,"4,0,5,2,3,1","[[""right"",""right"",""right"",""right"",""left"",""right"",""right"",""down"",""right"",""down""],[""right"",""right"",""right"",""down"",""down"",""down"",""right"",""left"",""left"",""left"",""left"",""left"",""left"",""right"",""right"",""right"",""right"",""right"",""up"",""right""],[""right"",""left"",""down"",""down"",""down"",""right"",""left"",""left"",""left"",""left"",""left"",""up"",""right"",""right"",""right"",""right"",""up"",""up"",""right"",""up""],[""up"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""down"",""up"",""up"",""up"",""up"",""up""],[""down"",""up"",""up"",""down"",""up"",""up"",""up"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""left"",""up"",""up"",""down"",""down""],[""right"",""right"",""right"",""up"",""right"",""up"",""left"",""left"",""up"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""up"",""down"",""down"",""down""],[""right"",""right"",""right"",""up"",""down"",""up"",""down"",""down"",""up"",""up"",""up"",""down"",""up"",""down"",""down"",""down"",""down"",""left"",""left"",""left""]]","[60,493,680,691,592,498,546]"
68,1,"5,1,4,0,3,2","[[""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""left"",""down"",""up"",""down"",""down"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""left"",""left"",""down"",""left"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""down"",""down"",""down"",""left"",""left"",""left"",""left"",""up"",""down"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""down"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""up"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""down"",""down"",""down"",""left"",""left"",""left"",""left"",""right"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""up"",""down""]]","[100,1001,1296,963,824,884,936]"
69,2,"0,5,2,3,1,4","[[""down"",""right"",""left"",""right"",""left"",""down"",""right"",""left"",""up"",""down""],[""down"",""right"",""left"",""down"",""down"",""up"",""up"",""left"",""right"",""down"",""right"",""down"",""right"",""down"",""right"",""up"",""down"",""up"",""down"",""left""],[""up"",""up"",""right"",""left"",""left"",""left"",""left"",""up"",""right"",""right"",""down"",""up"",""left"",""down"",""down"",""right"",""down"",""right"",""up"",""left""],[""down"",""right"",""up"",""left"",""right"",""left"",""down"",""left"",""left"",""right"",""down"",""up"",""up"",""down"",""left"",""down"",""down"",""up"",""down"",""down""],[""up"",""down"",""down"",""down"",""up"",""down"",""up"",""up"",""down"",""up"",""up"",""down"",""left"",""up"",""up"",""down"",""up"",""down"",""up"",""down""],[""left"",""left"",""left"",""left"",""down"",""right"",""right"",""down"",""left"",""left"",""down"",""right"",""down"",""left"",""up"",""up"",""right"",""down"",""left"",""right""],[""down"",""right"",""right"",""right"",""down"",""up"",""up"",""up"",""right"",""down"",""down"",""right"",""left"",""up"",""right"",""down"",""left"",""down"",""right"",""down""]]","[87,662,700,739,551,920,582]"
70,0,"2,1,4,3,5,0","[[""down"",""up"",""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""up"",""right"",""right"",""left"",""left"",""down"",""down"",""left"",""down"",""left"",""left"",""down"",""down"",""left"",""up"",""right"",""down"",""left"",""up"",""right""],[""down"",""down"",""left"",""left"",""down"",""left"",""down"",""left"",""up"",""right"",""down"",""left"",""up"",""right"",""down"",""left"",""up"",""right"",""down"",""left""],[""down"",""down"",""left"",""left"",""down"",""left"",""down"",""left"",""up"",""right"",""down"",""left"",""up"",""right"",""down"",""left"",""up"",""right"",""down"",""left""],[""up"",""left"",""right"",""up"",""up"",""left"",""left"",""down"",""up"",""down"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""down""],[""left"",""left"",""down"",""up"",""down"",""up"",""down"",""down"",""down"",""left"",""down"",""left"",""up"",""right"",""left"",""down"",""up"",""right"",""left"",""down""],[""down"",""down"",""left"",""right"",""up"",""left"",""left"",""up"",""down"",""down"",""up"",""right"",""right"",""down"",""up"",""down"",""down"",""up"",""up"",""down""]]","[93,861,1266,950,900,974,799]"
71,1,"5,2,0,4,1,3","[[""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""left"",""up"",""up"",""up"",""right"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""right"",""right"",""left""],[""down"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""left"",""right"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""left"",""left"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""left"",""left"",""right"",""left"",""left"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""left"",""left"",""down"",""left"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""up"",""right"",""down"",""left""],[""up"",""left"",""left"",""down"",""up"",""up"",""up"",""right"",""left"",""down"",""left"",""right"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right""]]","[100,835,878,874,1015,1294,912]"
72,0,"0,3,2,4,5,1","[[""down"",""right"",""left"",""right"",""left"",""right"",""down"",""down"",""up"",""up""],[""down"",""down"",""right"",""left"",""down"",""down"",""right"",""right"",""up"",""left"",""up"",""left"",""up"",""up"",""down"",""down"",""up"",""down"",""left"",""right""],[""up"",""up"",""up"",""up"",""up"",""down"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""up"",""right"",""up"",""right"",""up"",""right"",""up"",""right"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""left"",""left"",""up"",""up"",""up"",""up"",""left"",""up"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""down"",""right"",""down"",""down""],[""down"",""down"",""left"",""left"",""down"",""left"",""down"",""left"",""up"",""right"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""]]","[97,679,822,878,1245,667,1270]"
73,2,"3,1,4,0,2,5","[[""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right""],[""up"",""up"",""up"",""up"",""up"",""down"",""down"",""down"",""right"",""right"",""right"",""down"",""down"",""down"",""right"",""right"",""down"",""down"",""down"",""left""],[""up"",""up"",""up"",""up"",""up"",""down"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""right"",""up"",""up""],[""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""up"",""down"",""down"",""down"",""up"",""down""],[""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""down"",""up"",""up"",""right"",""right"",""right"",""right"",""right"",""right"",""right""],[""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""up"",""up"",""up"",""down"",""down"",""down"",""down""],[""up"",""up"",""up"",""up"",""up"",""left"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""down"",""down"",""up"",""up"",""down"",""down""]]","[66,722,756,602,926,792,661]"
74,0,"5,4,1,3,2,0","[[""down"",""right"",""left"",""down"",""up"",""down"",""up"",""down"",""right"",""up""],[""up"",""left"",""up"",""up"",""left"",""down"",""right"",""up"",""right"",""left"",""down"",""up"",""right"",""left"",""left"",""right"",""right"",""left"",""left"",""right""],[""down"",""left"",""up"",""left"",""down"",""right"",""up"",""left"",""right"",""left"",""right"",""left"",""right"",""right"",""left"",""right"",""left"",""down"",""up"",""left""],[""left"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left"",""right"",""right"",""right"",""left"",""left"",""left"",""right"",""right"",""left"",""left"",""right""],[""right"",""right"",""right"",""left"",""right"",""left"",""left"",""right"",""right"",""left"",""right"",""down"",""up"",""down"",""right"",""left"",""down"",""left"",""right"",""left""],[""down"",""down"",""left"",""left"",""up"",""right"",""down"",""down"",""up"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""]]","[87,800,746,756,819,856,840]"
75,1,"3,5,0,1,4,2","[[""right"",""right"",""right"",""right"",""right"",""down"",""up"",""down"",""up"",""down""],[""up"",""left"",""left"",""up"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""up"",""right"",""left"",""right""],[""left"",""left"",""up"",""left"",""right"",""up"",""right"",""up"",""left"",""left"",""up"",""left"",""right"",""up"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""left"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""right"",""left"",""right"",""left"",""right""],[""left"",""left"",""left"",""left"",""right"",""left"",""right"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""left"",""left"",""right"",""right"",""left"",""right"",""left"",""right"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""left"",""left"",""left"",""right"",""right"",""left"",""up"",""left"",""up""]]","[79,898,1070,862,796,750,757]"
76,2,"3,4,1,0,2,5","[[""right"",""down"",""left"",""down"",""down"",""right"",""up"",""down"",""left"",""right""],[""right"",""left"",""left"",""down"",""right"",""right"",""down"",""left"",""left"",""up"",""up"",""down"",""down"",""right"",""left"",""down"",""down"",""right"",""up"",""down""],[""down"",""right"",""left"",""right"",""right"",""right"",""right"",""right"",""left"",""up"",""left"",""left"",""up"",""down"",""up"",""left"",""left"",""right"",""up"",""down""],[""down"",""right"",""up"",""down"",""right"",""down"",""down"",""up"",""right"",""right"",""up"",""right"",""down"",""up"",""up"",""down"",""down"",""up"",""down"",""down""],[""down"",""left"",""down"",""up"",""right"",""up"",""down"",""up"",""left"",""down"",""down"",""up"",""left"",""down"",""down"",""down"",""up"",""left"",""down"",""up""],[""left"",""left"",""down"",""up"",""right"",""down"",""right"",""down"",""left"",""up"",""up"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""up""],[""left"",""up"",""up"",""up"",""right"",""down"",""down"",""down"",""right"",""right"",""right"",""right"",""right"",""up"",""up"",""up"",""left"",""left"",""down"",""down""]]","[83,404,562,520,737,683,610]"
77,2,"4,1,3,2,0,5","[[""down"",""down"",""down"",""right"",""right"",""down"",""right"",""right"",""right"",""right""],[""right"",""down"",""right"",""down"",""down"",""left"",""up"",""left"",""down"",""right"",""up"",""right"",""down"",""right"",""down"",""right"",""left"",""left"",""left"",""left""],[""down"",""right"",""right"",""right"",""right"",""down"",""left"",""down"",""right"",""down"",""left"",""left"",""up"",""left"",""up"",""left"",""up"",""left"",""up"",""left""],[""right"",""down"",""left"",""up"",""up"",""down"",""right"",""right"",""down"",""left"",""down"",""down"",""right"",""down"",""left"",""left"",""right"",""right"",""right"",""right""],[""right"",""down"",""right"",""right"",""right"",""down"",""left"",""down"",""right"",""down"",""right"",""up"",""left"",""up"",""right"",""left"",""left"",""left"",""left"",""down""],[""right"",""left"",""down"",""up"",""down"",""right"",""down"",""left"",""down"",""right"",""up"",""down"",""left"",""down"",""right"",""right"",""up"",""right"",""up"",""right""],[""right"",""down"",""left"",""down"",""right"",""down"",""left"",""left"",""up"",""right"",""down"",""right"",""right"",""right"",""down"",""left"",""left"",""up"",""left"",""up""]]","[54,593,630,617,675,586,697]"
