uid,treatment,testidx,data,scores
10,2,"3,1,2,4,0,5","[[""right"",""down"",""left"",""right"",""left"",""right"",""down"",""right"",""right"",""right""],[""right"",""right"",""right"",""down"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""left"",""right"",""down"",""up"",""down"",""right"",""left"",""up"",""down"",""up"",""down"",""up"",""left"",""left"",""up"",""down"",""down"",""right"",""up""],[""down"",""up"",""down"",""up"",""down"",""left"",""right"",""up"",""up"",""right"",""up"",""down"",""right"",""left"",""up"",""up"",""down"",""up"",""up"",""down""],[""down"",""down"",""left"",""left"",""down"",""left"",""left"",""up"",""down"",""right"",""up"",""right"",""down"",""down"",""up"",""up"",""up"",""right"",""right"",""down""],[""down"",""left"",""left"",""right"",""down"",""right"",""up"",""down"",""left"",""up"",""left"",""right"",""down"",""right"",""up"",""left"",""up"",""up"",""right"",""right""],[""down"",""up"",""left"",""down"",""left"",""up"",""down"",""right"",""down"",""right"",""down"",""right"",""up"",""down"",""left"",""down"",""right"",""up"",""right"",""up""]]","[92,866,840,805,833,729,791]"
11,2,"5,0,2,3,1,4","[[""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""right"",""down""],[""right"",""right"",""right"",""up"",""right"",""right"",""up"",""up"",""up"",""left"",""up"",""right"",""down"",""down"",""left"",""down"",""down"",""up"",""down"",""up""],[""down"",""left"",""up"",""right"",""right"",""right"",""right"",""right"",""right"",""down"",""down"",""up"",""up"",""up"",""up"",""left"",""up"",""left"",""up"",""left""],[""right"",""up"",""right"",""right"",""up"",""up"",""up"",""up"",""right"",""right"",""down"",""left"",""up"",""right"",""down"",""left"",""up"",""right"",""down"",""left""],[""right"",""right"",""right"",""left"",""right"",""right"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""up"",""up"",""up"",""left"",""up"",""right""],[""right"",""right"",""up"",""left"",""right"",""left"",""right"",""left"",""left"",""right"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""right"",""up"",""right"",""up"",""right"",""left"",""up"",""right"",""up"",""right"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""]]","[64,770,543,1038,857,840,1131]"
12,1,"4,3,1,5,0,2","[[""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""left"",""left"",""down"",""left"",""left"",""right"",""down"",""left"",""up"",""right"",""left"",""right"",""left"",""right"",""down"",""left"",""up"",""right""],[""up"",""left"",""left"",""right"",""left"",""right"",""left"",""down"",""left"",""right"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""down"",""down"",""up"",""down"",""up"",""down"",""left"",""left"",""down"",""up"",""right"",""right"",""left"",""left"",""down"",""left"",""left"",""down"",""right"",""up""],[""left"",""left"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""right"",""down"",""up"",""left"",""up"",""down"",""right"",""left"",""up"",""down"",""right""],[""down"",""left"",""left"",""down"",""up"",""right"",""left"",""right"",""down"",""left"",""left"",""right"",""up"",""up"",""down"",""right"",""left"",""up"",""down"",""up""],[""down"",""left"",""right"",""up"",""down"",""left"",""down"",""up"",""right"",""up"",""down"",""left"",""left"",""right"",""right"",""up"",""down"",""left"",""down"",""up""]]","[100,990,854,1042,871,918,865]"
13,2,"2,3,0,1,5,4","[[""down"",""right"",""left"",""right"",""down"",""up"",""left"",""right"",""left"",""right""],[""down"",""up"",""left"",""right"",""left"",""left"",""up"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""up"",""left"",""left"",""left"",""down"",""down"",""down"",""down"",""down"",""left"",""right"",""left"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""],[""down"",""down"",""up"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""up"",""down"",""down"",""left"",""down"",""left"",""right"",""left"",""right""],[""down"",""down"",""left"",""left"",""right"",""left"",""up"",""down"",""right"",""left"",""up"",""up"",""down"",""down"",""up"",""up"",""down"",""down"",""up"",""up""],[""down"",""up"",""down"",""down"",""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""down"",""right"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""]]","[99,719,1394,895,869,796,655]"
14,2,"1,2,4,3,0,5","[[""right"",""right"",""right"",""down"",""down"",""right"",""right"",""right"",""right"",""left""],[""up"",""right"",""up"",""up"",""up"",""right"",""right"",""right"",""left"",""left"",""left"",""right"",""right"",""right"",""down"",""down"",""down"",""left"",""left"",""left""],[""down"",""left"",""down"",""down"",""left"",""left"",""down"",""left"",""up"",""right"",""right"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""down"",""up""],[""down"",""down"",""up"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""right"",""left"",""left"",""down"",""right"",""left"",""left"",""left"",""right""],[""up"",""up"",""down"",""left"",""left"",""down"",""left"",""down"",""down"",""down"",""down"",""left"",""up"",""down"",""up"",""right"",""left"",""right"",""left"",""right""],[""down"",""left"",""left"",""right"",""right"",""down"",""up"",""down"",""up"",""up"",""down"",""down"",""left"",""left"",""left"",""down"",""down"",""up"",""left"",""right""],[""left"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""]]","[65,731,951,912,1307,878,924]"
15,1,"4,5,2,0,1,3","[[""down"",""right"",""down"",""up"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""left"",""left"",""down"",""up"",""up"",""right"",""up"",""down"",""down"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""up"",""left"",""left"",""right"",""left"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""left"",""right"",""left"",""right"",""right"",""right"",""right"",""right"",""right"",""left"",""left"",""left"",""left"",""right"",""up"",""left"",""right"",""left"",""right"",""left""],[""up"",""left"",""right"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""]]","[99,940,881,878,948,662,842]"
16,2,"4,0,1,2,3,5","[[""down"",""right"",""left"",""right"",""up"",""down"",""down"",""down"",""up"",""up""],[""up"",""right"",""right"",""up"",""up"",""right"",""up"",""right"",""up"",""right"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""left"",""left"",""up"",""up"",""left"",""up"",""right"",""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""left"",""left"",""left"",""down"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""up"",""up"",""up"",""right"",""up"",""right"",""right"",""right"",""up"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""up"",""up"",""up"",""left"",""left"",""left"",""up"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""left"",""left"",""up"",""up"",""up"",""up"",""left"",""up"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""]]","[96,1220,805,1275,1071,1020,1223]"
17,0,"5,1,2,3,4,0","[[""right"",""down"",""left"",""down"",""up"",""right"",""down"",""down"",""up"",""left""],[""up"",""left"",""down"",""left"",""down"",""right"",""up"",""left"",""up"",""up"",""right"",""up"",""left"",""down"",""down"",""down"",""down"",""right"",""down"",""up""],[""down"",""left"",""right"",""down"",""left"",""up"",""right"",""down"",""left"",""left"",""down"",""left"",""left"",""down"",""right"",""up"",""right"",""up"",""right"",""right""],[""down"",""left"",""down"",""down"",""left"",""left"",""down"",""left"",""up"",""right"",""up"",""left"",""down"",""down"",""right"",""up"",""right"",""up"",""right"",""right""],[""up"",""left"",""down"",""up"",""right"",""up"",""up"",""left"",""left"",""down"",""up"",""right"",""up"",""down"",""down"",""left"",""up"",""right"",""right"",""up""],[""down"",""down"",""left"",""left"",""up"",""up"",""left"",""left"",""down"",""down"",""down"",""right"",""down"",""left"",""up"",""right"",""right"",""up"",""right"",""up""],[""down"",""down"",""left"",""up"",""up"",""left"",""left"",""left"",""down"",""right"",""down"",""down"",""left"",""down"",""right"",""up"",""right"",""up"",""up"",""up""]]","[88,790,972,876,781,812,742]"
18,1,"1,0,5,3,4,2","[[""down"",""right"",""left"",""right"",""left"",""right"",""down"",""down"",""up"",""up""],[""down"",""down"",""left"",""left"",""down"",""left"",""down"",""left"",""up"",""down"",""right"",""left"",""right"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""left"",""left"",""up"",""left"",""right"",""down"",""down"",""left"",""down"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""down"",""left"",""left"",""up"",""down"",""up"",""up"",""up"",""up"",""right"",""right"",""up"",""right"",""up"",""down"",""left"",""down"",""left"",""right"",""left""],[""right"",""right"",""right"",""down"",""down"",""right"",""down"",""down"",""right"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""left"",""left"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right""],[""right"",""right"",""right"",""down"",""right"",""down"",""down"",""right"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down""]]","[97,1294,1010,794,1287,1030,1097]"
19,1,"5,4,0,1,3,2","[[""down"",""right"",""left"",""right"",""left"",""right"",""down"",""up"",""left"",""right""],[""left"",""left"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""up"",""down"",""left"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""down"",""down"",""up"",""left"",""left"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""],[""down"",""down"",""up"",""down"",""left"",""left"",""down"",""left"",""left"",""down"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left"",""right"",""left""],[""up"",""left"",""left"",""down"",""left"",""down"",""up"",""left"",""up"",""up"",""down"",""down"",""right"",""down"",""down"",""down"",""left"",""right"",""left"",""down""],[""down"",""left"",""down"",""left"",""left"",""down"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up"",""down"",""up""]]","[99,924,930,951,1245,1074,993]"
